season,date,reported_time,T_SFC,T_SFC_historical,RH_SFC,RH_SFC_historical,WindMagKmh_SFC,WindMagKmh_SFC_historical,DF_SFC,DF_SFC_historical,KBDI,KBDI_historical,soil_moisture,Curing,Curing_historical,grass_density_3km,forest_density_3km,shrub_density_3km,noveg_density_3km,primary_fuel_type,distance_to_interface,elevation_m,ruggedness_average_3km,building_density_3km,building_density_20km,road_density_km_in_3km,road_distance_m,FFDI,FFDI_historical,GFDI,GFDI_historical,uncontrolled_within_2_hrs,uncontrolled_within_4_hrs,uncontrolled_within_5_ha,uncontrolled_within_100_ha
2007-08,,,,6.8,,87.5,,11.7,,6.19,,13.1,0.3964935541152954,,31.0,0.3102744617896133,0.11047342107948169,0.03892459953066014,0.5403275176002448,noveg,0,56.0,14.44940960912052,9,18,53.73915600161101,3.9534813826149913,,0.79,,0.02,0.0,0.0,0.0,0.0
2007-08,,,,6.1,,91.5,,5.2,,9.95,,122.4,0.19978557527065277,,87.0,0.44852566064687277,0.36850831547801244,0.0006121824303642485,0.18235384144475048,grass,1,125.0,2.040175,1,230,25.376497720386848,398.77777496467263,,0.81,,0.69,1.0,1.0,1.0,0.0
2007-08,,,,17.3,,52.8,,9.4,,9.69,,123.2,0.2694072127342224,,76.0,0.7695388225691256,0.20668809305172942,0.0,0.023773084379144938,grass,1,274.0,3.89465,0,59,44.62020155190575,14.84636940115824,,5.23,,2.23,0.0,0.0,0.0,0.0
2007-08,,,,9.0,,94.5,,4.1,,9.84,,116.5,0.2629372179508209,,75.0,0.43623099683705746,0.45066829915314766,0.04093970003060912,0.07216100397918576,forest,3,190.0,2.429725,8,763,99.2288846576573,5.859337001616324,,0.76,,0.39,0.0,0.0,0.0,0.0
2007-08,,,,15.0,,54.2,,2.1,,9.02,,81.5,0.11268479377031326,,74.0,0.9434496479951026,0.048209366391184574,0.0,0.008340985613712867,grass,3,364.0,9.866075,0,148,42.04934013094007,7.084749187774348,,3.13,,0.27,0.0,0.0,0.0,0.0
2007-08,,,,16.0,,54.7,,6.2,,9.47,,98.7,0.07388488948345184,,73.0,0.9192939495969799,0.048770533619018466,0.0,0.03193551678400168,grass,1,150.0,3.548,2,222,37.38981613847607,2.0650884706720847,,3.98,,0.61,0.0,0.0,0.0,0.0
2007-08,,,,12.4,,90.6,,7.0,,7.76,,47.5,0.2609016001224518,,30.0,0.8498112437506377,0.035174982144679116,0.09052647689011326,0.024487297214569964,grass,1,92.0,10.826075,11,238,44.70241274070767,10.69468379478903,,0.87,,0.0,0.0,0.0,0.0,0.0
2007-08,,,,2.7,,94.4,,5.5,,9.66,,107.3,0.1168847382068634,,65.0,0.5248954188348127,0.3372870115294358,0.0013008876645240282,0.13651668197122746,grass,2,110.0,0.695425,8,594,86.38410405566644,92.40912917151691,,0.64,,0.13,0.0,0.0,0.0,0.0
2007-08,,,,17.4,,64.8,,22.0,,7.3,,38.0,0.15105745196342468,,46.0,0.4558208346087134,0.058590960106111624,0.45074482195694315,0.034843383328231836,grass,2,48.0,2.660354118552733,0,359,48.43948714914238,72.95202785975448,,4.53,,0.23,1.0,0.0,0.0,0.0
2007-08,,,,21.4,,38.1,,6.3,,8.49,,65.0,0.04402340203523636,,51.0,0.1743954698500153,0.8031068258340985,0.008443016018773595,0.014054688297112563,forest,0,43.0,4.710125,2,64,33.31321415421091,10.624472308968956,,7.65,,0.12,0.0,0.0,0.0,0.0
2007-08,,,,13.2,,64.0,,5.3,,9.89,,126.5,0.23175792396068573,,73.0,0.6247576777879809,0.22666054484236303,0.05430568309356188,0.09427609427609424,grass,2,88.0,1.17775,1,57,52.9446841521882,13.745789251629247,,2.64,,1.03,0.0,0.0,0.0,0.0
2007-08,,,,11.5,,89.4,,9.1,,9.16,,86.4,0.20548512041568756,,68.0,0.7411743699622487,0.22938985817773697,0.009896949290888685,0.019538822569125626,grass,1,233.0,4.154175,0,124,38.41236184423235,27.85497609064052,,1.14,,0.46,0.0,0.0,0.0,0.0
